-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,224,2,2,2,225,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,256,34,65,34,257,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,256,131,195,129,257,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,256,129,162,130,257,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,288,259,129,258,289,0,-1,-1,-1,-1,-1,-1
-1,-1,418,419,-1,-1,-1,-1,-1,256,129,257,-1,-1,-1,-1,-1,-1,-1,-1
224,449,450,451,452,1,225,-1,-1,256,129,257,-1,-1,-1,-1,-1,-1,-1,-1
256,66,482,483,66,34,261,2,2,260,129,257,-1,-1,-1,-1,-1,-1,-1,-1
256,130,129,129,162,129,33,34,164,35,129,257,-1,-1,-1,-1,-1,-1,-1,-1
288,129,129,131,129,129,129,129,196,129,129,257,-1,-1,-1,-1,-1,-1,-1,-1
0,262,129,129,129,129,258,34,34,34,34,289,-1,-1,-1,-1,-1,-1,-1,-1
0,0,262,162,129,130,257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,33,34,34,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
