-1,0,0,0,-1,224,2,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,-1,288,33,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,0,-1,262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,129,129,129,129,129,129,129,0,0,0,0,0,0,0,0,0
-1,224,129,33,33,33,33,35,129,0,0,0,0,0,0,0,0,0
0,256,129,290,0,0,-1,-1,129,-1,0,-1,0,0,0,1,225,0
224,260,129,35,0,-1,0,0,129,0,0,0,-1,0,0,33,261,225
256,34,129,129,0,129,129,129,129,129,129,129,0,129,129,129,33,257
256,129,129,129,129,129,262,262,129,262,262,129,129,129,129,195,129,257
288,34,129,129,262,129,129,129,129,129,129,129,262,129,129,129,258,289
0,0,34,35,0,262,262,262,129,262,262,262,0,262,129,258,262,0
-1,0,0,0,0,0,0,0,129,1,3,0,0,0,129,262,225,0
-1,0,0,0,0,0,0,0,129,33,35,0,0,129,129,33,261,225
-1,0,0,0,0,0,0,129,129,129,129,129,129,129,129,129,33,289
-1,0,0,0,0,0,0,129,129,129,129,129,129,129,129,129,262,0
-1,0,0,0,0,0,0,262,262,262,262,262,262,129,129,129,-1,-1
-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,262,262,262,-1,-1
